Security_ID,Symbol,Company_Name,Sector,Industry,Last_Close,Market_Cap,Log_Market_Cap,Momentum_1M,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_20D,Volatility_60D,ATR_14,Max_Drawdown_252D,SMA_50,SMA_200,Distance_SMA50,Distance_SMA200,Price_52W_High,Distance_52W_High,ADV_20D,Dollar_Volume,Turnover_Ratio,Factor_Date,Engine_Version,Momentum_1M_Rank,Momentum_3M_Rank,Momentum_6M_Rank,Momentum_12M_Rank,ADV_20D_Rank,Dollar_Volume_Rank,Market_Cap_Rank,Log_Market_Cap_Rank,Distance_SMA50_Rank,Distance_SMA200_Rank,Distance_52W_High_Rank,Volatility_20D_Rank,Volatility_60D_Rank,ATR_14_Rank,Max_Drawdown_252D_Rank,Alpha_Score,Liquidity_Penalty,Alpha_Adjusted,Rank,Percentile,Ranking_Date,Ranking_Method,Ranking_Model
SEC0D774BCE,RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,4460.7998046875,473916081975.0,26.884296100720825,0.086224850253052,0.3093043160221602,0.62022369744297,0.6600795067434635,0.2064482263191429,0.2463390684609472,114.52858189174108,-0.4411427033645105,3859.589990234375,3258.929493408203,0.1557703838942272,0.3687929774824234,4460.7998046875,0.0,1946626066.743616,1946626066.743616,462036.8,2026-08-04,1.0.0,0.8555555555555555,0.9555555555555556,0.9444444444444444,0.9555555555555556,0.9111111111111111,0.9111111111111111,0.8666666666666667,0.8666666666666667,0.9111111111111111,0.9444444444444444,0.9611111111111111,0.8666666666666667,0.7333333333333334,0.0444444444444444,0.19999999999999996,0.925,0.0888888888888889,0.9161111111111111,1,1.0,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,Internet Retail,335.3500061035156,771227796787.0096,27.371249623144813,0.0696969891659191,0.2427274356809683,0.4112869833960328,0.5682286375165564,0.1670379787291878,0.2656512937747209,7.135720389229911,-0.7209498261192084,300.9069982910156,268.8108995056152,0.1144639639759697,0.2475312821030548,335.3500061035156,0.0,1899194605.264896,1899194605.264896,5821032.0,2026-08-04,1.0.0,0.6926070038910506,0.8132295719844358,0.7859922178988327,0.9066147859922179,0.9221789883268483,0.9221789883268483,0.9416342412451362,0.9416342412451362,0.77431906614786,0.7859922178988327,0.9494163424124513,0.9727626459143969,0.8754863813229572,0.7237354085603113,0.8365758754863813,0.9025291828793773,0.0778210116731517,0.8947470817120622,2,0.9993333333333333,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,2186.0,921802679687.1144,27.54959702424434,0.0221162621723574,0.0968939601687803,0.5141650439383805,0.7912159589226004,0.2108787592264329,0.2296940479874578,46.371390206473215,-0.5862134171932474,2076.1180078125,1718.7305010986329,0.05292666012915,0.2718689745731997,2209.0,-0.010411951109099,1631148625.054895,1631148625.054895,755432.7,2026-08-04,1.0.0,0.5408560311284046,0.5758754863813229,0.8326848249027238,0.9494163424124513,0.9027237354085603,0.9027237354085603,0.9455252918287937,0.9455252918287937,0.5291828793774319,0.8132295719844358,0.8715953307392996,0.9027237354085603,0.9494163424124513,0.20622568093385218,0.4552529182879378,0.9038910505836576,0.09727626459143968,0.8941634241245137,3,0.9986666666666667,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1644.300048828125,1792553899736.021,28.214662478555844,0.013248705541712,0.185422880664057,0.8588063466076636,0.9957519117656428,0.2475173729025072,0.3161207621273769,50.642857142857146,-0.8536683357796557,1583.3860083007812,1185.9502520751953,0.0384707457360407,0.3864831563979194,1741.5999755859375,-0.0558681259312013,3992105405.043268,3992105405.043268,2375617.65,2026-08-04,1.0.0,0.8461538461538461,0.9615384615384616,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.9615384615384616,1.0,0.9230769230769231,0.5384615384615384,0.46153846153846156,0.0,0.9230769230769231,0.8961538461538461,0.07692307692307687,0.8884615384615384,4,0.998,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,Auto Parts,789.5,366032582500.76935,26.62598818961159,0.1827715355805244,0.3643825571414136,0.5805805805805806,0.7114676368782549,0.2825082279467156,0.2717387552418699,22.8964364188058,-0.5131275290510499,650.9319995117188,547.6594979858398,0.2128763074979025,0.4415891679110679,789.5,0.0,2163371887.2574525,2163371887.2574525,3021240.15,2026-08-04,1.0.0,0.9027237354085603,0.8871595330739299,0.8638132295719845,0.9377431906614786,0.933852140077821,0.933852140077821,0.8988326848249028,0.8988326848249028,0.9455252918287937,0.953307392996109,0.9494163424124513,0.6653696498054475,0.867704280155642,0.36575875486381326,0.2334630350194552,0.8787937743190662,0.06614785992217898,0.8721789883268484,5,0.9973333333333333,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4884.10009765625,3657287606980.0,28.927742897609075,0.0891312559131041,0.1338595699724318,0.2354801573364437,0.446497881728491,0.1409101642571139,0.21503576860887,64.79282924107143,-0.3976007619479212,4428.097998046875,4165.167010498047,0.102979224897576,0.1726060648579461,4884.10009765625,0.0,4348245035.991382,4348245035.991382,929248.6,2026-08-04,1.0.0,0.77431906614786,0.6342412451361867,0.6498054474708171,0.8404669260700389,0.9649805447470817,0.9649805447470817,0.9961089494163424,0.9961089494163424,0.7470817120622568,0.688715953307393,0.9494163424124513,0.9922178988326849,0.980544747081712,0.15953307392996108,0.06614785992217898,0.8702334630350194,0.035019455252918275,0.8667315175097275,6,0.9966666666666667,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC08B75179,HONASA,Honasa Consumer Limited,Consumer Defensive,Household & Personal Products,461.2999877929688,136475211224.11322,25.6394088323259,-0.0162081599540251,0.3009023684514686,0.6747139856586777,0.7391139973344723,0.1870001605149814,0.3096985896630536,14.521427699497767,-0.6291832037108473,436.9630017089844,332.98375091552737,0.0556957591118725,0.3853528483736528,474.3999938964844,-0.0276138412142856,402866120.8003159,402866120.8003159,873423.9,2026-08-04,1.0.0,0.4111111111111111,0.9444444444444444,0.9666666666666667,0.9666666666666667,0.7555555555555555,0.7555555555555555,0.7,0.7,0.7222222222222222,0.9555555555555556,0.8666666666666667,0.9111111111111111,0.5777777777777777,0.4444444444444444,0.5666666666666667,0.8899999999999999,0.24444444444444446,0.8655555555555554,7,0.996,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,150.6699981689453,1494697571482.7888,28.032945008984598,0.0367439363559518,0.155179074060642,0.3206240950584205,0.5231500299021059,0.2047125222484419,0.2916865092052083,3.8564300537109375,-0.6437625079660713,145.00120056152343,124.97659996032716,0.0390948322184177,0.2055856713718755,151.7100067138672,-0.0068552402537519,2274773377.17506,2274773377.17506,15695147.25,2026-08-04,1.0.0,0.5992217898832685,0.6731517509727627,0.7120622568093385,0.8832684824902723,0.9377431906614786,0.9377431906614786,0.9688715953307393,0.9688715953307393,0.4708171206225681,0.7315175097276264,0.8754863813229572,0.9221789883268483,0.8054474708171206,0.8599221789883269,0.6381322957198443,0.8708171206225681,0.0622568093385214,0.864591439688716,8,0.9953333333333333,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1831.9000244140625,755809166617.0,27.351054756151576,0.1979466929816593,0.5183589095848011,0.9203312552780742,1.078280105558378,0.3399461091352714,0.2763573652114554,43.80712890625,-0.5911528220556093,1503.4460083007812,1165.1552520751952,0.2184674503107067,0.5722368509701725,1831.9000244140625,0.0,3653052410.971948,3653052410.971948,2218091.55,2026-08-04,1.0.0,0.984,0.944,0.936,0.936,0.976,0.976,0.912,0.912,0.984,0.968,0.956,0.41600000000000004,0.704,0.32799999999999996,0.56,0.8636000000000001,0.02400000000000002,0.8612000000000002,9,0.9946666666666667,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
SEC07F192C8,CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,5473.5,1558695600000.0,28.074870433572222,-0.0188222640494756,0.0130483064963908,0.3375118966575769,0.5280996535996207,0.2244965135703181,0.3349171534136762,132.89285714285714,-0.5255679572135739,5628.11,4844.483986816406,-0.0274710337928717,0.1298416951930017,6027.5,-0.0919120696806304,2187702565.5,2187702565.5,396341.15,2026-08-04,1.0.0,0.47634069400630913,0.5678233438485805,0.7602523659305994,0.8706624605678234,0.9463722397476341,0.9463722397476341,0.9842271293375394,0.9842271293375394,0.305993690851735,0.6719242902208202,0.7539432176656151,0.8927444794952681,0.665615141955836,0.06309148264984232,0.26813880126182965,0.8629337539432176,0.05362776025236593,0.857570977917981,10,0.994,2026-08-04,Sector Neutral Percentile,Institutional Composite Alpha
