Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Max_Daily_Trade,Position_Capacity,Implied_Fund_Capacity,MarketCap_Limit,Effective_Capacity,Days_To_Exit,Participation_Rate,Capacity_Score,Capacity_Class,Liquidity_Breach
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,47.0,0.8135658914728684,0.0182001045682118,589.0,366032582500.76935,805761599.3373016,2026-08-04,1.0.0,80576159.93373017,1208642399.0059526,66408541471.62213,3660325825.007694,3660325825.007694,0.8267744804872353,0.08267744804872355,22.000000000000004,CONSTRAINED,False
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,39.0,0.8264984227129338,0.0181104834288384,2150.39990234375,243493536686.7297,1269464695.2124023,2026-08-04,1.0.0,126946469.52124023,1904197042.8186035,105143358005.91814,2434935366.867297,2434935366.867297,0.34737363534607346,0.034737363534607345,30.000000000000004,CONSTRAINED,False
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,Basic Materials,44.0,0.8184824902723735,0.0179788581627996,1147.4000244140625,1161869682805.318,1024062529.702185,2026-08-04,1.0.0,102406252.97021851,1536093794.5532777,85438896099.17714,11618696828.05318,11618696828.05318,2.039825657607908,0.2039825657607908,31.2,CONSTRAINED,False
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,12.0,0.8642023346303502,0.0177534669117742,7268.5,371823202750.0,1027275226.45,2026-08-04,1.0.0,102727522.64500001,1540912839.6750002,86795038249.85631,3718232027.5,3718232027.5,0.6425883499462867,0.06425883499462867,29.200000000000003,CONSTRAINED,False
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,35.0,0.8315891472868218,0.0177010186579581,227.44000244140625,201700020917.55493,1145386952.1773925,2026-08-04,1.0.0,114538695.21773925,1718080428.2660887,97061104870.01079,2017000209.1755493,2017000209.1755493,0.3117108874677688,0.031171088746776883,27.200000000000003,CONSTRAINED,False
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,18.0,0.8494163424124513,0.0175242701555916,1396.5,366284755992.0,1154836042.343451,2026-08-04,1.0.0,115483604.23434511,1732254063.5151765,98848856365.20807,3662847559.92,3662847559.92,0.5558254836637467,0.05558254836637467,32.8,CONSTRAINED,False
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,22.0,0.8441634241245136,0.0174012092902968,3147.10009765625,256395788769.78665,1330672150.8816895,2026-08-04,1.0.0,133067215.08816896,1996008226.3225346,114705144511.74042,2563957887.6978664,2563957887.6978664,0.3352889574323457,0.033528895743234574,34.800000000000004,CONSTRAINED,False
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,42.0,0.8230283911671923,0.0165293663568896,1872.0,268952896400.0,671078758.9071411,2026-08-04,1.0.0,67107875.89071411,1006618138.3607116,60898773529.88448,2689528964.0,2689528964.0,0.6624588989497918,0.06624588989497918,20.8,CONSTRAINED,False
SEC681E0717,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,40.0,0.8259689922480621,0.0162708392703216,8863.0,210406242060.0,497216183.9,2026-08-04,1.0.0,49721618.39,745824275.85,45838094978.321205,2104062420.6000001,2104062420.6000001,0.6885307149855708,0.06885307149855709,15.600000000000003,CONSTRAINED,False
SEC3BD55433,GPIL,Godawari Power & Ispat Limited,Basic Materials,46.0,0.8138132295719845,0.0160770207770766,277.29998779296875,181516682970.0,1415119810.6218064,2026-08-04,1.0.0,141511981.06218064,2122679715.9327097,132031907239.88676,1815166829.7,1815166829.7,0.20621911032483056,0.020621911032483054,34.400000000000006,CONSTRAINED,False
SECDCBF746B,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,41.0,0.8247081712062256,0.0159280904807013,986.75,274974698093.1006,698681971.9648132,2026-08-04,1.0.0,69868197.19648133,1048022957.94722,65797149960.75765,2749746980.931006,2749746980.931006,0.6268691689315556,0.06268691689315557,23.6,CONSTRAINED,False
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,14.0,0.8542452830188679,0.0155099013018624,1257.5,243709111494.88354,1300762504.6022766,2026-08-04,1.0.0,130076250.46022767,1951143756.903415,125799882212.60475,2437091114.9488354,2437091114.9488354,0.29059142251382564,0.029059142251382567,33.20000000000001,CONSTRAINED,False
SEC3FF4377F,MAHABANK,Bank of Maharashtra,Financial Services,21.0,0.8450920245398773,0.0137942996732158,86.30000305175781,659473904982.0659,1050737736.3119464,2026-08-04,1.0.0,105073773.63119465,1576106604.4679198,114257819665.04788,6594739049.82066,6594739049.82066,0.8657708158382653,0.08657708158382654,30.400000000000006,CONSTRAINED,False
SEC6E162A52,AETHER,Aether Industries Limited,Basic Materials,31.0,0.8342412451361868,0.0134897409599067,1151.800048828125,153424754893.93665,405966353.5218506,2026-08-04,1.0.0,40596635.35218506,608949530.282776,45141677078.35568,1534247548.9393666,1534247548.9393666,0.5098107718537779,0.050981077185377796,15.599999999999998,CONSTRAINED,False
SECE827CE80,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,13.0,0.8549079754601226,0.0123609172207041,1756.0,290821280902.0,1474407316.2474976,2026-08-04,1.0.0,147440731.62474975,2211610974.3712463,178919649317.51797,2908212809.02,2908212809.02,0.24381442900038633,0.02438144290003863,41.6,LIMITED,False
